"","speed","X.break","Y.break","Type"
"1393",92.7,1.17,9.14,"FF"
"1318",71.3,-1.97,-6.34,"CU"
"1472",93.1,1.5,10.73,"FF"
"6459",94.7,0.99,12.26,"FF"
"4872",93.7,-1.03,10.8,"FF"
"3321",91.4,1.14,12.65,"FF"
"9449",91.5,0.490422868814,13.3012482929,"FF"
"6431",93.4,2.31,13.57,"FF"
"2394",94.7,1.6,14.21,"FF"
"9298",92.7,0.535673015316715,14.771937940998,"FF"
"5728",73.4,2,-11.66,"CU"
"4569",94.3,-0.19,10.42,"FF"
"5295",93.1,0.276,10.661,"FF"
"407",72.3,-4.77,-7.31,"CU"
"8848",92.9,-0.0527724475468584,14.016981633036,"FF"
"5245",73.5,-0.14,-11.073,"CU"
"8284",93.9,1.62275253165629,14.7392333833843,"FF"
"1990",92.4,0.51,12.72,"FF"
"9292",92.1,-0.31817529261159,12.8363864365831,"FF"
"5960",92.5,2.98,11.67,"FF"
"7907",92.9,0.31,11.86,"FF"
"4950",92,0.87,8.78,"FF"
"3419",72.5,-3.18,-8.41,"CU"
"5784",93.7,2.72,11.82,"FF"
"1067",92.8,0.14,12.19,"FF"
"5589",93.4,1.61,11.22,"FF"
"6141",92.7,1.01,12.19,"FF"
"6348",94.1,0.07,14.5,"FF"
"3991",73.7,-4.05,-8.11,"CU"
"8624",92.3,1.42659412671944,11.3971926641059,"FF"
"535",92.3,0.63,-3.21,"FF"
"5353",93.6,-1.04,11.33,"FF"
"4976",72.8,-0.95,-9.08,"CU"
"3540",94.6,-0.28,11.9,"FF"
"7223",73.5,-0.04,-11.54,"CU"
"5172",73.8,-0.82,-12.9,"CU"
"2787",93.3,-0.12,13.12,"FF"
"3125",73.6,-4.09,-10.51,"CU"
"9016",93.3,2.05747512332494,13.5591988686553,"FF"
"2856",74.1,-4.77,-8.47,"CU"
"224",92.9,0.9,12.67,"FF"
"6",74.5,-2.46,-10.04,"CU"
"7638",93.6,1.2,12.24,"FF"
"9423",91.4,1.96931860423,14.3832471514,"FF"
"395",92.4,1.24,14.03,"FF"
"3788",93.2,-0.97,9.88,"FF"
"8665",73.9,1.1834574058984,-6.08039070768185,"CU"
"2303",93.2,2.41,-3.42,"FF"
"4858",92.1,-1.9,11.01,"FF"
"4713",94.2,-0.29,12.2,"FF"
"3254",92.5,0.86,10.01,"FF"
"6117",92.4,-0.04,12.37,"FF"
"1819",92.3,-0.66,13.96,"FF"
"2097",93.3,0.1,11.73,"FF"
"829",73.6,-4.81,-8.43,"CU"
"3084",92.6,-0.89,9.13,"FF"
"8812",94.3,1.1194036839431,14.6892343759759,"FF"
"2333",92.5,2.63,10.55,"FF"
"6738",73.6,-3.76,-10.2,"CU"
"1706",71.9,-2.39,-4.35,"CU"
"3819",93.7,2.1,10.78,"FF"
"1190",73.5,-2.42,-10.49,"CU"
"8827",93.6,3.65876865958505,12.6889722959508,"FF"
"2989",93.4,0.08,11.13,"FF"
"8613",72.7,-1.33133564381652,-7.25204820390929,"CU"
"5183",93.6,-2.6,6.73,"FF"
"9241",93.5,1.50500339499012,14.7132718147864,"FF"
"7256",93,1.08,12.25,"FF"
"7369",95.4,1.89,14.18,"FF"
"6035",93.3,3,12.94,"FF"
"6763",92.3,0.23,12.84,"FF"
"2503",94.3,5.29,12.27,"FF"
"2755",91.8,1.82,10.47,"FF"
"8236",91.6,-1.50014295368012,8.01445620406272,"FF"
"1626",91.5,-1.91,9.25,"FF"
"6476",96.3,0.3,12.16,"FF"
"7034",72.1,4.13,-8.1,"CU"
"3522",91.9,-1.32,10.54,"FF"
"7648",74.2,-2.63,-10.02,"CU"
"4724",74.5,-2.22,-11.21,"CU"
"7599",90.9,-1.63,11.62,"FF"
"7066",93,3.72,8.35,"FF"
"4970",90.7,0.07,11.14,"FF"
"2334",92.8,4.68,14.71,"FF"
"1895",91.9,1.77,12.24,"FF"
"6195",93.2,2.87,12.27,"FF"
"6275",93.5,-1.17,10.16,"FF"
"2412",93.3,2.86,12.25,"FF"
"4234",90.4,1.66,5.87,"FF"
"4816",92,3.27,8.73,"FF"
"8176",92.9,0.613057658727721,15.5562290821168,"FF"
"6023",72.2,-0.29,-10.13,"CU"
"5412",94.7,-0.27,9.84,"FF"
"9109",71.7,0.086764216554405,-7.65660147696785,"CU"
"1989",93.1,-1.39,13.47,"FF"
"8754",93.2,2.31419860234168,14.84669223415,"FF"
"6502",94,-1.99,9.63,"FF"
"2468",93.4,2.2,12.01,"FF"
"5724",94,4.38,10.16,"FF"
"2482",92.7,0.19,11.2,"FF"
"9197",91.8,0.214694074076794,13.3086988910183,"FF"
"3298",92.9,1.26,13.79,"FF"
"1799",73.9,-3.83,-6.92,"CU"
"7193",92.7,-0.35,12.28,"FF"
"5115",93,-0.05,9.4,"FF"
"3096",73.8,-3.39,-10.45,"CU"
"5556",93.8,0.03,9.76,"FF"
"3838",93.8,1.1,13.49,"FF"
"6200",72.3,1.2,-10.86,"CU"
"4138",74.2,0.66,-11.01,"CU"
"3016",93.1,1.74,11.14,"FF"
"9180",72.6,-0.0684671040428726,-10.5675715342986,"CU"
"8422",72.6,0.820777957251313,-7.93231927380684,"CU"
"8122",73.4,0.7,-10.36,"CU"
"612",93.8,0.01,13.01,"FF"
"8713",73.5,-0.150482275255136,-6.06974446160959,"CU"
"5570",73.8,-1.98,-9.33,"CU"
"2447",92,3.31,12.04,"FF"
"7372",93.8,-1.24,14.32,"FF"
"1387",92.3,1.09,8.84,"FF"
"4597",94.7,1.96,11.92,"FF"
"5867",93.2,2.05,9.8,"FF"
"1452",92.5,1.79,10.84,"FF"
"6128",94.1,1.69,10.59,"FF"
"8251",91.5,-0.667902933682472,5.71868171344777,"FF"
"2185",92.7,1.36,9.56,"FF"
"7125",93,-1.45,12.3,"FF"
"6973",92.1,-3.55,14.28,"FF"
"8902",91.6,-0.734583617286313,13.7337454350774,"FF"
"5967",92.7,2.96,11.36,"FF"
"4083",93.7,1.66,10.61,"FF"
"8808",74.5,-0.0784700088959051,-7.70941931787827,"CU"
"2009",92.6,-0.9,12.21,"FF"
"9047",94,0.660943295872981,14.6428168241442,"FF"
